iter	Passed	Remaining
0	163	162892
1	212	106041
2	263	87476
3	312	77720
4	372	74144
5	436	72356
6	487	69195
7	544	67510
8	595	65563
9	655	64937
10	711	63994
11	761	62731
12	826	62730
13	892	62838
14	950	62397
15	1002	61641
16	1055	61046
17	1120	61120
18	1181	60994
19	1229	60255
20	1287	60037
21	1353	60183
22	1413	60024
23	1468	59728
24	1529	59662
25	1592	59670
26	1649	59442
27	1700	59024
28	1753	58725
29	1813	58644
30	1882	58845
31	1936	58577
32	1994	58452
33	2058	58496
34	2116	58363
35	2172	58161
36	2235	58185
37	2300	58244
38	2366	58301
39	2419	58059
40	2477	57946
41	2528	57683
42	2588	57613
43	2642	57424
44	2716	57652
45	2798	58037
46	2858	57967
47	2917	57865
48	2984	57928
49	3047	57907
50	3104	57760
51	3162	57661
52	3217	57493
53	3278	57427
54	3334	57295
55	3404	57390
56	3464	57318
57	3523	57229
58	3578	57067
59	3639	57018
60	3690	56810
61	3745	56668
62	3803	56572
63	3858	56435
64	3911	56262
65	3958	56017
66	4015	55916
67	4082	55955
68	4161	56143
69	4228	56172
70	4300	56271
71	4364	56258
72	4429	56242
73	4489	56178
74	4549	56106
75	4598	55907
76	4658	55845
77	4713	55720
78	4769	55608
79	4824	55486
80	4880	55375
81	4931	55211
82	4987	55103
83	5047	55037
84	5110	55015
85	5171	54966
86	5236	54952
87	5297	54898
88	5349	54761
89	5398	54582
90	5453	54472
91	5508	54364
92	5563	54256
93	5618	54155
94	5676	54076
95	5732	53984
96	5789	53898
97	5848	53828
98	5914	53826
99	5975	53783
100	6040	53763
101	6112	53811
102	6180	53821
103	6230	53677
104	6285	53578
105	6343	53504
106	6399	53408
107	6454	53306
108	6508	53205
109	6565	53124
110	6624	53052
111	6686	53011
112	6745	52952
113	6804	52881
114	6861	52804
115	6920	52736
116	6978	52668
117	7033	52575
118	7091	52498
119	7148	52419
120	7202	52319
121	7253	52199
122	7319	52187
123	7401	52284
124	7472	52307
125	7532	52246
126	7591	52185
127	7640	52047
128	7702	52005
129	7756	51908
130	7821	51884
131	7875	51785
132	7926	51673
133	7980	51575
134	8054	51610
135	8109	51521
136	8161	51408
137	8221	51353
138	8282	51303
139	8345	51267
140	8400	51174
141	8451	51066
142	8507	50987
143	8564	50908
144	8618	50819
145	8675	50746
146	8729	50654
147	8787	50585
148	8842	50503
149	8901	50442
150	8961	50385
151	9021	50328
152	9078	50259
153	9141	50220
154	9195	50130
155	9249	50040
156	9303	49955
157	9360	49881
158	9416	49804
159	9475	49744
160	9522	49624
161	9579	49554
162	9639	49496
163	9699	49443
164	9762	49401
165	9828	49378
166	9894	49352
167	9951	49284
168	10005	49200
169	10058	49109
170	10115	49040
171	10168	48949
172	10226	48885
173	10282	48811
174	10342	48757
175	10392	48658
176	10448	48584
177	10501	48495
178	10558	48425
179	10616	48364
180	10673	48297
181	10733	48239
182	10798	48210
183	10857	48151
184	10909	48060
185	10970	48008
186	11025	47934
187	11078	47848
188	11135	47782
189	11192	47716
190	11300	47863
191	11354	47782
192	11405	47690
193	11470	47657
194	11527	47585
195	11578	47495
196	11644	47464
197	11696	47377
198	11753	47310
199	11802	47209
200	11854	47124
201	11915	47072
202	11981	47040
203	12056	47045
204	12129	47039
